Node Number	Shear Stress (MPa)
537	2.931e-002
538	2.577e-002
539	1.4743e-002
540	3.8982e-003
541	-3.7884e-003
542	-9.4675e-003
543	-9.1514e-003
544	-1.7586e-002
545	-4.5522e-002
546	-3.6001e-002
547	-3.9725e-002
548	-8.1051e-002
549	-7.0603e-002
550	-7.0702e-002
551	-4.293e-003
552	-1.5247e-002
553	-0.20212
554	-0.24467
555	-0.26216
556	-0.2711
557	-0.29822
558	-0.26682
559	-0.22069
560	-0.14918
561	-8.4797e-004
562	0.10513
563	0.11895
564	-2.5174e-002
565	-4.4668e-003
566	-2.0085e-002
567	1.4994e-002
568	4.5002e-002
569	9.8255e-002
570	5.5514e-002
571	3.0557e-002
572	7.5066e-002
573	1.6816e-002
574	4.1577e-002
575	9.9731e-002
576	3.0304e-002
577	3.9314e-002
578	5.569e-002
579	6.0063e-002
580	4.0299e-002
581	2.0722e-002
582	4.5094e-002
583	5.2668e-002
584	5.6931e-002
585	8.5709e-002
586	8.803e-002
587	4.6836e-002
588	7.3688e-002
589	6.1246e-002
590	0.10843
591	9.3127e-002
592	5.5899e-002
593	6.977e-002
594	4.2992e-002
595	6.2311e-002
596	0.72932
597	1.4091
598	0.72683
599	0.34374
600	0.10127
601	-0.24941
602	-6.0479e-002
603	-0.89384
604	-0.88625
605	-1.1694
606	-0.72493
607	-0.50517
608	-2.9939e-002
609	-0.15767
610	-0.19532
611	-0.19847
612	-0.15948
613	-0.17682
614	-0.1082
615	-0.14314
616	-0.11847
617	-5.6093e-002
618	7.1062e-003
619	-1.8007e-002
620	3.2183e-002
621	8.6941e-002
622	0.11843
623	8.977e-002
624	0.14538
625	0.19741
626	0.15259
627	0.174
628	0.30022
629	0.23022
630	0.27689
631	0.25266
632	0.3252
633	0.65167
634	0.40049
635	0.60904
636	0.79097
637	0.83284
638	0.62197
639	0.90706
640	0.64689
641	0.80812
642	0.64344
643	0.67981
644	-6.3865e-003
645	3.6324e-002
646	7.5919e-002
647	8.6666e-002
648	7.0207e-002
649	2.1851e-002
650	-1.7375e-002
651	-5.5325e-002
652	-7.947e-002
653	-0.1268
654	-0.15649
655	-0.16702
656	-0.78561
657	-0.63572
658	-0.56031
659	-0.43968
660	-0.43991
661	-0.34873
662	-0.31024
663	-0.14822
664	-4.5078e-002
665	5.9218e-002
666	-0.24616
667	-0.13333
668	-9.4377e-002
669	-9.5928e-002
670	-7.3928
671	-7.5113
672	-7.9284
673	-7.0525
674	-7.3718
675	-7.3011
676	-6.4295
677	-5.3848
678	-3.756
679	-4.2542
680	-5.5322
681	-3.9721
682	-3.8896
683	-3.2905
684	-4.1199
685	-4.2918
686	-2.6375
687	-2.5033
688	-2.6896
689	-2.6024
690	-2.7659
691	-2.8285
692	-2.5541
693	-2.2535
694	-2.529
695	-2.2449
696	-2.2467
697	-2.0809
698	-2.1288
699	-1.6893
700	-1.8208
701	-1.6876
702	-1.3658
703	-1.3505
704	-0.9274
705	0.53107
706	0.35272
707	0.3817
708	0.48196
709	5.8852
710	6.2184
711	4.4234
712	3.0939
713	2.0298
714	0.90293
715	-0.21445
716	-1.6975
717	-2.0582
718	-3.4968
719	-4.4215
720	-4.8247
721	-7.1698
722	5.9612
723	5.2547
724	4.7663
725	4.0151
726	0.82383
727	1.0561
728	1.1155
729	1.3354
730	1.6049
731	1.8916
732	2.7519
733	3.2853
734	3.1132
735	3.6395
736	3.5442
737	4.1027
738	3.1863
739	4.4105
740	4.0671
741	4.6964
742	4.8228
743	4.948
744	4.3916
745	5.331
746	5.2706
747	6.8123
748	4.4245
749	5.1587
750	5.474
751	4.6729
752	6.2014
753	6.0386
754	6.1371
755	6.919
756	7.723
757	6.4107
758	7.8048
759	5.6386
760	6.3187
761	-0.12927
762	-0.24137
763	-0.39887
764	-0.4316
765	-0.57626
766	-0.53444
767	-0.57395
768	-0.38875
769	-0.27644
770	-0.15196
771	-6.5946e-002
772	1.4119e-002
773	0.10548
774	0.26743
775	0.35509
776	0.57607
777	0.81859
778	-0.56339
779	-0.50831
780	-0.4538
781	-0.31645
782	0.53747
783	0.57689
784	0.63235
785	0.56218
786	0.62749
787	0.60903
788	0.374
789	0.52307
790	0.40782
791	0.32237
792	0.34897
793	0.36016
794	0.2324
795	0.288
796	0.20891
797	0.14351
798	0.19998
799	8.7408e-002
800	0.13563
801	6.8507e-002
802	2.4648e-002
803	-4.5719e-002
804	-9.154e-002
805	-0.14429
806	-0.2072
807	-0.25419
808	-0.30715
809	-0.33276
810	-0.44957
811	-0.40187
812	-0.63792
813	-0.54795
814	-0.64294
815	-0.56411
816	-0.33742
817	0.75806
818	2.2564
819	2.6698
820	3.3348
821	3.9813
822	3.9322
823	3.834
824	3.9603
825	2.4986
826	2.6402
827	2.2972
828	3.0159
829	2.2901
830	1.7199
831	1.9727
832	1.9938
833	1.8609
834	1.7062
835	1.2553
836	0.81184
837	-0.12898
838	-2.4806e-002
839	2.9833e-002
840	0.10683
841	0.13533
842	0.14826
843	0.13088
844	0.15222
845	6.9236e-002
846	2.8458e-002
847	-1.5524e-002
848	-2.4321e-002
849	-2.8444e-002
850	2.8431e-002
851	3.6874e-002
852	0.10669
853	0.13644
854	0.23952
855	0.28907
856	0.21747
857	0.22454
858	-3.3685e-002
859	6.5224e-002
860	0.16516
861	0.16727
862	0.13927
863	0.10528
864	3.1317e-002
865	-1.0519e-002
866	-1.9854e-002
867	4.1855e-002
868	0.11559
869	0.28331
870	0.32802
871	0.31667
872	0.29918
873	0.51071
874	0.60399
875	0.89478
876	0.76134
877	0.76278
878	0.73099
879	0.74216
880	0.46354
881	0.45004
882	0.34786
883	0.26081
884	3.6366e-002
885	-1.8443e-002
886	-0.10306
887	-0.16159
888	6.2809e-002
889	0.30509
890	0.22859
891	1.7098e-002
892	4.1547e-002
893	0.30554
894	0.46587
895	-0.17583
896	-0.25643
897	-0.2862
898	-0.42293
899	-0.26307
900	-6.205e-002
901	-1.148e-002
902	-5.0542e-002
903	0.36781
904	0.2955
905	0.1132
906	-6.1046e-003
907	0.15903
908	0.40517
909	3.7968e-002
910	-0.10292
911	0.16262
912	0.14517
913	1.9237e-002
914	4.5395e-002
915	0.19754
916	8.7629e-002
917	-0.19677
918	4.5439e-002
919	-0.30166
920	-4.06e-002
921	-4.961e-002
922	4.5175e-002
923	2.0969e-002
924	-4.1993e-002
925	5.7739e-002
926	0.16905
927	7.2103e-002
928	1.0579e-002
929	-4.6013e-002
930	3.9134e-002
931	-0.33376
932	0.37941
933	1.6982
934	1.9401
935	2.2512
936	0.18596
937	-0.4487
938	0.56972
939	0.70598
940	1.2416
941	1.0847
942	1.1421
