Node Number	Shear Stress (Pa)
983	3.7876e+006
984	1.8966e+007
985	2.8819e+007
986	3.0032e+007
987	1.9926e+007
988	5.7733e+006
989	-5.3881e+006
990	-9.5911e+006
991	-6.5454e+006
992	1.7905e+006
993	2.17e+007
994	6.3583e+006
995	8.0486e+006
996	2.9169e+006
997	-5.2571e+006
998	-1.214e+007
999	-1.3489e+007
1000	2.9016e+006
1001	3.3312e+006
1002	1.7526e+006
1003	-2.0902e+006
1004	-6.2666e+006
1005	-6.2158e+006
1006	-1.1158e+007
1007	4.1272e+006
1008	5.2543e+006
1009	-9.3376e+005
1010	-9.6134e+006
1011	-1.3159e+007
1012	4.0595e+006
1013	-7.8394e+006
1014	-8.67e+006
1015	6.7134e+006
1016	6.8577e+006
1017	4.5299e+006
1018	1.8677e+005
1019	-6.2348e+006
1020	-9.4835e+006
1021	6.0188e+006
1022	2.4097e+006
1023	-5.6213e+006
1024	-9.7453e+006
1025	3.6233e+006
1026	-2.8687e+006
1027	-2.0428e+007
1028	1.6674e+006
1029	1.7302e+007
1030	1.8368e+007
1031	1.6078e+007
1032	8.8835e+006
1033	-5.6737e+006
1034	3.0324e+006
1035	8.0272e+006
1036	9.9985e+006
1037	7.6802e+006
1038	3.9342e+006
1039	6.8148e+006
1040	-1.2974e+007
1041	1.3453e+007
1042	1.8196e+007
1043	1.7271e+007
1044	1.3539e+007
1045	-4.1192e+006
1046	5.6487e+006
1047	5.3327e+006
1048	-1.1776e+007
1049	3.5775e+006
1050	4.7939e+006
1051	1.2812e+007
1052	1.1783e+007
1053	1.0223e+007
1054	-5.1588e+006
1055	1.502e+007
1056	1.6332e+007
1057	1.477e+007
1058	1.1168e+007
1059	1.5123e+007
1060	-6.2642e+006
1061	-1.6045e+007
1062	-1.6474e+007
1063	-1.0258e+007
1064	-3.6512e+006
1065	-6.8889e+006
1066	-4.103e+006
1067	-3.0995e+006
1068	-4.7242e+006
1069	-3.4646e+006
1070	-9.9755e+006
1071	-1.6066e+007
1072	-1.5084e+007
1073	-6.7342e+006
1074	-8.6265e+006
1075	-6.8651e+006
1076	-4.8857e+006
1077	-5.4176e+006
1078	-1.1908e+007
1079	-1.1621e+007
1080	-1.0933e+007
1081	-7.232e+006
1082	-8.1552e+006
1083	-1.4022e+007
1084	-1.4371e+007
1085	-1.0421e+007
1086	-2.7897e+006
1087	2.8488e+006
1088	-5.0734e+005
1089	-2.8133e+005
1090	-4.7083e+005
1091	5.3226e+005
1092	-4.3925e+006
1093	-4.0286e+006
1094	-1.6967e+006
1095	1.8055e+006
1096	4.5641e+006
1097	-2.3422e+006
1098	-4.2256e+005
1099	-1.1218e+006
1100	-7.8599e+005
1101	513.45
1102	-2.1617e+006
1103	-1.3736e+006
1104	1.5512e+005
1105	-7.7578e+005
1106	-1.5913e+006
1107	-1.6922e+005
1108	-8.3879e+005
1109	-1.2749e+006
1110	-1.5922e+006
1111	-1.2806e+006
1112	-4.6717e+005
1113	6.0237e+005
1114	1.4892e+006
1115	1.9424e+006
1116	1.7118e+006
1117	5.9985e+005
1118	7.0519e+005
1119	89180
1120	-2.9724e+005
1121	-4.2443e+005
1122	-2.4377e+005
1123	3.26e+005
1124	9.4932e+005
1125	1.1685e+006
1126	1.3264e+006
1127	7.0798e+005
1128	9.3334e+005
