Node Number	Normal Stress (Pa)
1092	-9.9774e+006
1093	-8.2514e+006
1094	-3.3639e+006
1095	4.1633e+006
1096	8.4532e+006
1097	-5.7039e+006
1098	-7.0194e+005
1099	-4.909e+006
1100	-4.4108e+006
1101	1.9398e+005
1102	-6.3069e+006
1103	-4.5309e+006
1104	1.9105e+005
1105	-3.1881e+006
1106	-5.1791e+006
1107	4.8659e+005
1108	9.0749e+005
1109	1.0839e+006
1110	8.6172e+005
1111	3.9961e+005
1112	25211
1113	1.1872e+005
1114	4.2781e+005
1115	1.0308e+006
1116	1.4044e+006
1117	8.4256e+005
1118	-7.3877e+005
1119	-73618
1120	1.9384e+005
1121	1.341e+005
1122	57485
1123	77652
1124	3.9538e+005
1125	4.793e+005
1126	1.082e+006
1127	1.244e+006
1128	-1.4354e+006
1129	-1.4705e+006
1130	-2.0181e+006
1131	-1.1472e+006
1132	-6.5603e+005
1133	1.0207e+006
1134	9.3919e+005
1135	6.5455e+005
1136	8.6037e+005
1137	5.2939e+005
1138	2.0721e+005
1139	20475
1140	1.5697e+005
1141	6.4922e+005
1142	9.6046e+005
1143	1.1462e+006
1144	-1.3696e+006
1145	-1.6087e+006
1146	5.4907e+005
1147	-2.0582e+005
1148	3.2992e+005
1149	5.4731e+005
1150	3.1513e+005
1151	79576
1152	17643
1153	1.4253e+005
1154	4.8783e+005
1155	9.5724e+005
1156	-5.8315e+005
1157	96286
1158	1.888e+005
1159	1.0763e+005
1160	-5704.1
1161	7074.8
1162	2.7095e+005
1163	8.3271e+005
1164	1.3935e+006
1165	-1.4373e+006
1166	-9.4852e+005
1167	1.1712e+006
1168	7.8631e+005
1169	4.9168e+005
1170	2.9445e+005
1171	1.1296e+005
1172	24076
1173	-39779
1174	2.7613e+005
1175	5.9365e+005
1176	7.2943e+005
1177	-1.3755e+005
1178	1.5666e+005
1179	2.0671e+005
1180	1.7079e+005
1181	1.255e+005
1182	2.6889e+005
1183	7.8128e+005
1184	1.2903e+006
1185	-7.455e+005
1186	-1.1294e+006
1187	-4.973e+005
1188	-2.3949e+005
1189	14657
1190	-1.1215e+005
1191	-2608.9
1192	-58988
1193	1.9317e+005
1194	-1.0136e+005
1195	1.6912e+005
1196	1.232e+005
1197	14886
1198	15345
1199	2.8054e+005
1200	7.9633e+005
1201	1.222e+006
1202	-8.6031e+005
1203	9.3875e+005
1204	6.5413e+005
1205	3.7466e+005
1206	4.9906e+005
1207	98801
1208	97483
1209	1.1577e+005
1210	1.5092e+005
1211	4.7627e+005
1212	1.0405e+006
1213	-6.2063e+005
1214	-6.9411e+005
1215	3.5462e+005
1216	-2.7279e+005
1217	-1.2282e+005
1218	-1.4785e+005
1219	28349
1220	-72550
1221	-1.6367e+005
1222	33420
1223	-10737
1224	-32876
1225	1.2373e+005
1226	4.1034e+005
1227	-5.1594e+005
1228	5.9101e+005
1229	-51490
1230	-69337
1231	39483
1232	2.9677e+005
1233	-479.
1234	-81733
1235	-10595
1236	5.9623e+005
1237	-3.8199e+005
1238	-2.5909e+005
1239	-77621
1240	18726
1241	-1.8119e+005
1242	32720
1243	-2.8295e+005
1244	-7990.7
1245	1.931e+005
1246	2.2521e+005
1247	-2.1975e+005
1248	-1.2145e+005
1249	5.5265e+005
1250	1.4977e+006
1251	3.0342e+006
1252	4.5207e+006
1253	5.6233e+006
1254	5.8034e+006
1255	5.2088e+006
1256	3.6532e+006
1257	1.7601e+006
1258	6.0492e+005
1259	72944
1260	8.1199e+005
1261	1.242e+006
1262	1.9706e+006
1263	2.1305e+006
1264	1.7365e+006
1265	8.299e+005
1266	-3.3517e+005
1267	-1.8411e+006
1268	-2.1664e+006
1269	-2.4756e+006
1270	-1.6555e+006
1271	2.0141e+005
1272	48278
1273	-60457
1274	-13803
1275	-21842
1276	5.2666e+005
1277	1.4407e+006
1278	2.9532e+006
1279	4.0226e+006
1280	4.5511e+006
1281	4.3598e+006
1282	3.4799e+006
1283	2.3621e+006
1284	3.8807e+005
1285	-83426
1286	1.4995e+005
1287	-19507
1288	2.3049e+005
1289	6.798e+005
1290	1.7172e+006
1291	2.5302e+006
1292	3.1919e+006
1293	3.3672e+006
1294	2.9815e+006
1295	2.2674e+006
1296	3.1656e+005
1297	7.879e+005
1298	1.4059e+006
1299	1.8676e+006
1300	2.3391e+006
1301	2.2244e+006
1302	1.6932e+006
1303	6.6706e+005
1304	-9.8603e+005
1305	-1.9024e+006
1306	-2.3378e+006
1307	-6.5149e+005
1308	78868
1309	73754
1310	8.4309e+005
1311	1.5469e+006
1312	2.0824e+006
1313	2.345e+006
1314	2.1284e+006
1315	1.353e+006
1316	9.4528e+005
1317	4.1236e+005
1318	9.787e+005
1319	1.5834e+006
1320	2.0361e+006
1321	2.2351e+006
1322	1.9421e+006
1323	1.1852e+006
1324	45038
1325	1.3101e+005
1326	1.188e+005
1327	42206
1328	2.9814e+005
1329	5.5311e+005
1330	1.0716e+006
1331	1.0358e+006
1332	9.7968e+005
1333	7.6254e+005
1334	7.2175e+005
1335	9.4962e+005
1336	1.6261e+006
1337	1.8793e+006
1338	1.8101e+006
1339	1.3817e+006
