Node Number	Normal Stress (Pa)
986	-2.2452e+008
987	-1.9686e+008
988	-1.5783e+008
989	-1.0406e+008
990	-4.9232e+007
991	4.9209e+006
992	8.6899e+007
993	-2.1881e+008
994	-3.284e+005
995	-6.6587e+005
996	-5.4957e+005
997	-8.0225e+005
998	-9.8931e+005
999	-1.1839e+006
1000	4.7387e+006
1001	5.045e+006
1002	3.6566e+006
1003	2.8631e+006
1004	6.5503e+005
1005	-2.1945e+006
1006	-2.0921e+006
1007	1.6956e+006
1008	-1.1141e+006
1009	-1.3302e+006
1010	-1.4694e+006
1011	-1.7135e+006
1012	3.2154e+006
1013	-1.8108e+006
1014	-2.3877e+006
1015	-2.5735e+005
1016	-5.1798e+005
1017	1.8045e+006
1018	-6.0258e+005
1019	-1.5534e+005
1020	-1.7024e+006
1021	6.9256e+005
1022	-1.0411e+006
1023	-1.419e+006
1024	-1.6718e+006
1025	2.045e+005
1026	-5.6209e+005
1027	-3.9406e+006
1028	-2.5409e+006
1029	-1.2793e+006
1030	-1.0032e+006
1031	-8.2473e+005
1032	-1.6977e+006
1033	1.5313e+007
1034	1.596e+007
1035	1.215e+007
1036	1.1379e+007
1037	1.0151e+007
1038	6.3026e+006
1039	-1.6796e+006
1040	2.4823e+006
1041	-3.1935e+006
1042	-2.555e+006
1043	-1.7089e+006
1044	-2.5918e+006
1045	3.7091e+006
1046	6.8158e+006
1047	9.6358e+005
1048	-3.6639e+006
1049	-3.7005e+006
1050	2.9499e+006
1051	2.4549e+006
1052	3.1565e+006
1053	-9.113e+005
1054	-2.8027e+005
1055	-2.1156e+006
1056	-2.1025e+006
1057	-2.352e+006
1058	4.1515e+005
1059	5.7222e+005
1060	-1.2801e+006
1061	-1.3901e+006
1062	-1.0016e+006
1063	-1.3763e+006
1064	-1.8555e+005
1065	5.0507e+006
1066	3.8596e+006
1067	-56819
1068	-9.8741e+005
1069	-2.3642e+006
1070	-2.0992e+006
1071	-1.5969e+006
1072	-1.4564e+006
1073	-1.137e+006
1074	1.4691e+006
1075	2.5577e+006
1076	-5.2032e+005
1077	-2.3995e+006
1078	-1.9585e+006
1079	-1.1504e+006
1080	-2.748e+005
1081	3.9232e+005
1082	-2.4662e+006
1083	-1.849e+006
1084	-1.6571e+006
1085	-3.3813e+005
1086	1.0141e+006
1087	-3.418e+006
1088	1.8851e+006
1089	-5.126e+006
1090	-1.3122e+007
1091	-6.6475e+006
1092	-16373
1093	-4.1969e+006
1094	-9.6429e+006
1095	-6.9278e+006
1096	-3.4415e+006
1097	-7.6908e+006
1098	-9.5011e+006
1099	-8.6401e+005
1100	-1.0003e+007
1101	-1.0174e+007
1102	-3.0977e+006
1103	-1.0271e+007
1104	-9.5175e+006
1105	-1.2086e+007
1106	-7.5532e+006
1107	-7.103e+005
1108	-2.8662e+005
1109	-3.5894e+005
1110	-2.2186e+005
1111	-2.5153e+005
1112	-1.3116e+005
1113	-2.6704e+005
1114	-88381
1115	-1.3941e+005
1116	-2.0649e+005
1117	-6.6854e+005
1118	-1.2676e+005
1119	1.1576e+005
1120	1.1296e+005
1121	2.1791e+005
1122	3.3972e+005
1123	3.0599e+005
1124	2.9923e+005
1125	2.1918e+005
1126	4.7642e+005
1127	1.1426e+006
1128	-72682
1129	-2.4898e+006
1130	-4.001e+006
1131	-3.9291e+006
1132	-2.3159e+006
1133	2.6239e+006
1134	2.1038e+006
1135	2.0349e+005
1136	-6.7049e+005
1137	-6.8388e+005
1138	-7.3355e+005
1139	-7.9636e+005
1140	-7.2597e+005
1141	-6.8424e+005
1142	-6.6526e+005
1143	-5.2363e+005
1144	-1.1671e+006
1145	-4.534e+006
1146	-8.8561e+005
1147	-2.2525e+006
1148	-1.9273e+006
1149	-1.5972e+006
1150	-1.6826e+006
1151	-1.7452e+006
1152	-1.6723e+006
1153	-1.6136e+006
1154	-1.3251e+006
1155	-7.3279e+005
1156	-6.965e+005
1157	-2.2064e+005
1158	-68212
1159	7281.2
1160	44838
1161	1.7501e+005
1162	2.9632e+005
1163	6.3266e+005
1164	1.5063e+006
1165	-3.6707e+006
1166	-4.8988e+006
1167	1.6089e+006
1168	5.6963e+005
1169	-9.8118e+005
1170	-2.3136e+006
