Node Number	Normal Stress (MPa)
853	-0.43282
854	-0.46546
855	-0.42037
856	-0.26829
857	-5.0116e-002
858	0.27014
859	0.34639
860	0.49411
861	0.2647
862	-0.24326
863	-1.189
864	-2.1743
865	-3.0689
866	-3.5718
867	-3.4071
868	-2.8132
869	-1.8313
870	-1.1717
871	-0.44341
872	-0.10702
873	-1.4442
874	-0.98924
875	-0.72163
876	-0.23061
877	4.9643e-004
878	6.0221e-002
879	1.8668e-003
880	1.6562e-002
881	-7.0806e-002
882	7.0633e-002
883	-0.1582
884	-0.33906
885	-0.47107
886	-0.77192
887	-0.75282
888	0.48114
889	0.96844
890	-0.12138
891	-2.6795
892	-3.4255
893	-1.6848
894	1.6167e-002
895	0.13859
896	1.2664e-002
897	-1.6707
898	-2.107
899	-0.24168
900	0.8613
901	0.6408
902	0.20878
903	0.15198
904	0.79134
905	-0.87288
906	-3.0156
907	-2.5506
908	-0.6395
909	0.40828
910	0.27652
911	1.0514
912	0.60505
913	-1.5503
914	-2.8797
915	-1.5631
916	-7.8334e-002
917	-0.60431
918	-1.876
919	-1.5167
920	0.14777
921	1.0231
922	0.73688
923	-0.12557
924	-2.098
925	-2.3153
926	-0.75349
927	-1.1535
928	-2.2386
929	-0.9078
930	0.73181
931	-4.9406e-002
932	9.0293e-002
933	0.27222
934	0.64147
935	1.3614
936	1.6076
937	1.6831
938	1.2399
939	0.89173
940	0.32722
941	5.2548e-002
942	-0.10328
943	-0.10716
944	-0.32182
945	-0.11681
946	0.68625
947	1.5631
948	1.8021
949	1.2704
950	0.44231
951	-2.6789e-002
952	-7.0294e-002
953	-2.3096e-002
954	-1.7077e-002
955	0.40263
956	0.88726
957	1.3829
958	1.8156
959	1.7475
960	1.1123
961	0.53008
962	5.065e-002
963	-0.22209
964	-3.035e-002
965	-6.0253e-003
966	0.17961
967	0.45235
968	1.088
969	1.8876
970	2.0877
971	1.7449
972	0.87497
973	0.33426
974	3.8436e-003
975	-0.11102
976	0.4043
977	1.3436
978	2.0253
979	1.7896
980	1.0305
981	0.26797
982	3.5491e-002
983	-1.8814e-002
984	-5.2194e-002
985	9.221e-002
986	0.4918
987	1.3604
988	2.0836
989	2.044
990	1.4034
991	0.48292
992	-9.2241e-003
993	-0.12456
994	1.8453
995	2.2919
996	1.587
997	0.43231
998	-0.43631
999	-0.607
1000	0.48182
1001	0.45053
1002	0.30667
1003	-0.29856
1004	-0.56714
1005	-0.30816
1006	-0.54826
1007	0.92117
1008	1.7627
1009	0.84238
1010	-0.23013
1011	-0.61388
1012	0.84373
1013	-0.49804
1014	-0.47124
1015	1.6083
1016	1.7066
1017	1.0004
1018	0.42898
1019	-0.39689
1020	-0.62159
1021	1.325
1022	1.0953
1023	-3.0049e-002
1024	-0.48111
1025	1.0142
1026	0.10403
1027	1.9971
1028	0.74276
1029	4.5158
1030	7.222
1031	3.4603
1032	-11.796
1033	0.19845
1034	0.73521
1035	2.8345
1036	5.7444
1037	4.482
1038	-8.7531
1039	-10.476
1040	1.7445
1041	1.7927
1042	6.1571
1043	7.282
1044	0.46446
1045	0.73509
1046	-0.55154
1047	-8.7741
1048	1.0172
1049	0.23421
1050	0.97993
1051	4.9626
1052	7.0856
1053	1.1287
1054	0.97436
1055	3.2462
1056	7.4829
1057	6.1422
1058	2.0806
1059	6.4669
1060	-1.0479
1061	0.81352
1062	1.1875
1063	0.55859
1064	0.10188
1065	0.17768
1066	0.37375
1067	8.9233e-002
1068	0.23375
1069	-0.14836
1070	4.1799e-002
1071	1.0652
1072	0.96953
1073	-7.5461e-002
1074	0.13143
1075	0.464
1076	0.2369
1077	-0.56077
1078	0.34757
1079	0.72318
1080	0.52235
1081	0.45401
1082	-0.14522
1083	0.647
1084	0.84572
1085	0.30665
1086	-0.11587
1087	-7.164e-002
1088	-4.8334e-002
1089	1.4807e-002
1090	6.3604e-002
1091	-4.8501e-002
1092	1.161e-002
1093	0.33662
1094	0.24189
1095	7.2321e-003
1096	-0.19868
1097	0.13924
1098	9.6851e-002
1099	-6.8679e-002
1100	2.7115e-002
1101	2.1635e-002
1102	5.8475e-002
1103	5.9404e-002
1104	2.6783e-002
1105	2.5159e-002
1106	3.1801e-002
1107	-0.61581
1108	-0.80883
1109	-0.93524
