Node Number	Shear Stress (MPa)
590	-5.3137e-002
591	-5.9575e-002
592	-4.8364e-002
593	-0.10927
594	-0.14446
595	-0.32809
596	0.4678
597	0.53424
598	-7.2938e-003
599	-0.12761
600	-0.16955
601	-0.14185
602	2.9808e-002
603	0.69208
604	0.78535
605	1.58
606	1.2846
607	1.3651
608	1.4677
609	-6.5526e-002
610	-7.822e-002
611	-8.0305e-002
612	-3.6356e-002
613	-1.7189e-002
614	-1.7647e-002
615	1.4658e-002
616	3.4884e-002
617	1.1103e-002
618	3.3475e-002
619	7.1042e-002
620	0.13534
621	0.14149
622	0.18573
623	0.17569
624	0.18221
625	0.24767
626	0.13584
627	0.19756
628	0.26366
629	0.22344
630	0.2502
631	0.23812
632	0.26355
633	0.59351
634	0.296
635	0.46528
636	0.49456
637	0.63679
638	0.48951
639	0.64067
640	0.39526
641	0.46219
642	0.44755
643	0.39241
644	1.9129e-002
645	1.1411e-003
646	-7.2583e-002
647	-0.12109
648	-0.16974
649	-0.10968
650	-0.24247
651	-0.22033
652	-0.16597
653	-0.20281
654	-0.13046
655	-0.10557
656	-1.2603
657	-1.0186
658	-0.81449
659	-0.90765
660	-0.96726
661	-0.89601
662	-1.0375
663	-0.89653
664	-1.2057
665	-0.97523
666	-1.7151
667	-1.5726
668	-1.4906
669	-1.1342
670	3.1962
671	1.9808
672	0.59897
673	-9.7596e-002
674	-0.57113
675	-0.9821
676	-0.8465
677	-1.0427
678	-0.90866
679	-0.81611
680	-1.1251
681	-0.92657
682	-0.88803
683	-0.84739
684	-1.1997
685	-0.88228
686	-0.65132
687	-0.76368
688	-0.85838
689	-0.84287
690	-0.7806
691	-1.1331
692	-0.83597
693	-0.90197
694	-0.98271
695	-1.0166
696	-1.0736
697	-1.0552
698	-1.0033
699	-1.1529
700	-1.3024
701	-1.3306
702	-1.228
703	-1.3037
704	-1.2962
705	2.1929
706	2.0312
707	1.8125
708	1.0825
709	3.7401
710	4.56
711	3.7427
712	3.5978
713	3.5249
714	4.2441
715	3.5014
716	4.2204
717	4.033
718	5.0271
719	5.6241
720	4.8749
721	4.5198
722	3.5285
723	2.9876
724	2.6528
725	2.1452
726	-0.4126
727	-0.56389
728	-0.66129
729	-0.63727
730	-0.77048
731	-0.8178
732	-1.2562
733	-1.2475
734	-1.3733
