Node,X,Y
      216.,  0.13621450E-01, -0.43782815E-02,  0.50000000E-02
      217.,  0.13534894E-01, -0.38873953E-02,  0.50000000E-02
      218.,  0.13399891E-01, -0.34075667E-02,  0.50000000E-02
      219.,  0.13217783E-01, -0.29435645E-02,  0.50000000E-02
      220.,  0.86602540E-02, -0.10000000E-01,  0.45000000E-02
      221.,  0.86602540E-02, -0.10000000E-01,  0.40000000E-02
      222.,  0.86602540E-02, -0.10000000E-01,  0.35000000E-02
      223.,  0.86602540E-02, -0.10000000E-01,  0.30000000E-02
      224.,  0.86602540E-02, -0.10000000E-01,  0.25000000E-02
      225.,  0.86602540E-02, -0.10000000E-01,  0.20000000E-02
      226.,  0.86602540E-02, -0.10000000E-01,  0.15000000E-02
      227.,  0.86602540E-02, -0.10000000E-01,  0.10000000E-02
      228.,  0.86602540E-02, -0.10000000E-01,  0.50000000E-03
      229.,  0.43301270E-02,  0.12500000E-01,  0.00000000E+00
      230.,  0.12742945E-01, -0.20714286E-02,  0.00000000E+00
      231.,  0.12495509E-01, -0.16428571E-02,  0.00000000E+00
      232.,  0.12248074E-01, -0.12142857E-02,  0.00000000E+00
      233.,  0.12000638E-01, -0.78571429E-03,  0.00000000E+00
      234.,  0.11753202E-01, -0.35714286E-03,  0.00000000E+00
      235.,  0.11505766E-01,  0.71428571E-04,  0.00000000E+00
      236.,  0.11258330E-01,  0.50000000E-03,  0.00000000E+00
      237.,  0.11010894E-01,  0.92857143E-03,  0.00000000E+00
      238.,  0.10763459E-01,  0.13571429E-02,  0.00000000E+00
      239.,  0.10516023E-01,  0.17857143E-02,  0.00000000E+00
      240.,  0.10268587E-01,  0.22142857E-02,  0.00000000E+00
      241.,  0.10021151E-01,  0.26428571E-02,  0.00000000E+00
      242.,  0.97737153E-02,  0.30714286E-02,  0.00000000E+00
      243.,  0.95262794E-02,  0.35000000E-02,  0.00000000E+00
      244.,  0.92788436E-02,  0.39285714E-02,  0.00000000E+00
      245.,  0.90314078E-02,  0.43571429E-02,  0.00000000E+00
      246.,  0.87839720E-02,  0.47857143E-02,  0.00000000E+00
      247.,  0.85365361E-02,  0.52142857E-02,  0.00000000E+00
      248.,  0.82891003E-02,  0.56428571E-02,  0.00000000E+00
      249.,  0.80416645E-02,  0.60714286E-02,  0.00000000E+00
      250.,  0.77942286E-02,  0.65000000E-02,  0.00000000E+00
      251.,  0.75467928E-02,  0.69285714E-02,  0.00000000E+00
      252.,  0.72993570E-02,  0.73571429E-02,  0.00000000E+00
      253.,  0.70519211E-02,  0.77857143E-02,  0.00000000E+00
      254.,  0.68044853E-02,  0.82142857E-02,  0.00000000E+00
      255.,  0.65570495E-02,  0.86428571E-02,  0.00000000E+00
      256.,  0.63096137E-02,  0.90714286E-02,  0.00000000E+00
      257.,  0.60621778E-02,  0.95000000E-02,  0.00000000E+00
      258.,  0.58147420E-02,  0.99285714E-02,  0.00000000E+00
      259.,  0.55673062E-02,  0.10357143E-01,  0.00000000E+00
      260.,  0.53198703E-02,  0.10785714E-01,  0.00000000E+00
      261.,  0.50724345E-02,  0.11214286E-01,  0.00000000E+00
      262.,  0.48249987E-02,  0.11642857E-01,  0.00000000E+00
      263.,  0.45775628E-02,  0.12071429E-01,  0.00000000E+00
      264.,  0.43301270E-02,  0.12500000E-01,  0.50000000E-02
      265.,  0.43301270E-02,  0.12500000E-01,  0.45000000E-02
      266.,  0.43301270E-02,  0.12500000E-01,  0.40000000E-02
      267.,  0.43301270E-02,  0.12500000E-01,  0.35000000E-02
      268.,  0.43301270E-02,  0.12500000E-01,  0.30000000E-02
      269.,  0.43301270E-02,  0.12500000E-01,  0.25000000E-02
      270.,  0.43301270E-02,  0.12500000E-01,  0.20000000E-02
      271.,  0.43301270E-02,  0.12500000E-01,  0.15000000E-02
      272.,  0.43301270E-02,  0.12500000E-01,  0.10000000E-02
      273.,  0.43301270E-02,  0.12500000E-01,  0.50000000E-03
      274.,  0.12742945E-01, -0.20714286E-02,  0.50000000E-02
      275.,  0.12495509E-01, -0.16428571E-02,  0.50000000E-02
      276.,  0.12248074E-01, -0.12142857E-02,  0.50000000E-02
      277.,  0.12000638E-01, -0.78571429E-03,  0.50000000E-02
      278.,  0.11753202E-01, -0.35714286E-03,  0.50000000E-02
      279.,  0.11505766E-01,  0.71428571E-04,  0.50000000E-02
      280.,  0.11258330E-01,  0.50000000E-03,  0.50000000E-02
      281.,  0.11010894E-01,  0.92857143E-03,  0.50000000E-02
      282.,  0.10763459E-01,  0.13571429E-02,  0.50000000E-02
      283.,  0.10516023E-01,  0.17857143E-02,  0.50000000E-02
      284.,  0.10268587E-01,  0.22142857E-02,  0.50000000E-02
      285.,  0.10021151E-01,  0.26428571E-02,  0.50000000E-02
      286.,  0.97737153E-02,  0.30714286E-02,  0.50000000E-02
      287.,  0.95262794E-02,  0.35000000E-02,  0.50000000E-02
      288.,  0.92788436E-02,  0.39285714E-02,  0.50000000E-02
      289.,  0.90314078E-02,  0.43571429E-02,  0.50000000E-02
      290.,  0.87839720E-02,  0.47857143E-02,  0.50000000E-02
      291.,  0.85365361E-02,  0.52142857E-02,  0.50000000E-02
      292.,  0.82891003E-02,  0.56428571E-02,  0.50000000E-02
      293.,  0.80416645E-02,  0.60714286E-02,  0.50000000E-02
      294.,  0.77942286E-02,  0.65000000E-02,  0.50000000E-02
      295.,  0.75467928E-02,  0.69285714E-02,  0.50000000E-02
      296.,  0.72993570E-02,  0.73571429E-02,  0.50000000E-02
      297.,  0.70519211E-02,  0.77857143E-02,  0.50000000E-02
      298.,  0.68044853E-02,  0.82142857E-02,  0.50000000E-02
      299.,  0.65570495E-02,  0.86428571E-02,  0.50000000E-02
      300.,  0.63096137E-02,  0.90714286E-02,  0.50000000E-02
      301.,  0.60621778E-02,  0.95000000E-02,  0.50000000E-02
      302.,  0.58147420E-02,  0.99285714E-02,  0.50000000E-02
      303.,  0.55673062E-02,  0.10357143E-01,  0.50000000E-02
      304.,  0.53198703E-02,  0.10785714E-01,  0.50000000E-02
      305.,  0.50724345E-02,  0.11214286E-01,  0.50000000E-02
      306.,  0.48249987E-02,  0.11642857E-01,  0.50000000E-02
      307.,  0.45775628E-02,  0.12071429E-01,  0.50000000E-02
      308., -0.43301270E-02,  0.12500000E-01,  0.00000000E+00
      309.,  0.40596900E-02,  0.12918718E-01,  0.00000000E+00
      310.,  0.37489060E-02,  0.13308429E-01,  0.00000000E+00
      311.,  0.34008637E-02,  0.13665259E-01,  0.00000000E+00
      312.,  0.30190221E-02,  0.13985663E-01,  0.00000000E+00
      313.,  0.26071760E-02,  0.14266454E-01,  0.00000000E+00
      314.,  0.21694187E-02,  0.14504844E-01,  0.00000000E+00
      315.,  0.17101007E-02,  0.14698463E-01,  0.00000000E+00
      316.,  0.12337870E-02,  0.14845386E-01,  0.00000000E+00
      317.,  0.74521133E-03,  0.14944154E-01,  0.00000000E+00
      318.,  0.24922943E-03,  0.14993785E-01,  0.00000000E+00
      319., -0.24922943E-03,  0.14993785E-01,  0.00000000E+00
      320., -0.74521133E-03,  0.14944154E-01,  0.00000000E+00
      321., -0.12337870E-02,  0.14845386E-01,  0.00000000E+00
      322., -0.17101007E-02,  0.14698463E-01,  0.00000000E+00
      323., -0.21694187E-02,  0.14504844E-01,  0.00000000E+00
      324., -0.26071760E-02,  0.14266454E-01,  0.00000000E+00
      325., -0.30190221E-02,  0.13985663E-01,  0.00000000E+00
      326., -0.34008637E-02,  0.13665259E-01,  0.00000000E+00
      327., -0.37489060E-02,  0.13308429E-01,  0.00000000E+00
      328., -0.40596900E-02,  0.12918718E-01,  0.00000000E+00
      329., -0.43301270E-02,  0.12500000E-01,  0.50000000E-02
      330., -0.43301270E-02,  0.12500000E-01,  0.45000000E-02
      331., -0.43301270E-02,  0.12500000E-01,  0.40000000E-02
      332., -0.43301270E-02,  0.12500000E-01,  0.35000000E-02
      333., -0.43301270E-02,  0.12500000E-01,  0.30000000E-02
      334., -0.43301270E-02,  0.12500000E-01,  0.25000000E-02
      335., -0.43301270E-02,  0.12500000E-01,  0.20000000E-02
      336., -0.43301270E-02,  0.12500000E-01,  0.15000000E-02
      337., -0.43301270E-02,  0.12500000E-01,  0.10000000E-02
      338., -0.43301270E-02,  0.12500000E-01,  0.50000000E-03
      339.,  0.40596900E-02,  0.12918718E-01,  0.50000000E-02
      340.,  0.37489060E-02,  0.13308429E-01,  0.50000000E-02
      341.,  0.34008637E-02,  0.13665259E-01,  0.50000000E-02
      342.,  0.30190221E-02,  0.13985663E-01,  0.50000000E-02
      343.,  0.26071760E-02,  0.14266454E-01,  0.50000000E-02
      344.,  0.21694187E-02,  0.14504844E-01,  0.50000000E-02
      345.,  0.17101007E-02,  0.14698463E-01,  0.50000000E-02
      346.,  0.12337870E-02,  0.14845386E-01,  0.50000000E-02
      347.,  0.74521133E-03,  0.14944154E-01,  0.50000000E-02
      348.,  0.24922943E-03,  0.14993785E-01,  0.50000000E-02
      349., -0.24922943E-03,  0.14993785E-01,  0.50000000E-02
      350., -0.74521133E-03,  0.14944154E-01,  0.50000000E-02
      351., -0.12337870E-02,  0.14845386E-01,  0.50000000E-02
      352., -0.17101007E-02,  0.14698463E-01,  0.50000000E-02
      353., -0.21694187E-02,  0.14504844E-01,  0.50000000E-02
      354., -0.26071760E-02,  0.14266454E-01,  0.50000000E-02
      355., -0.30190221E-02,  0.13985663E-01,  0.50000000E-02
      356., -0.34008637E-02,  0.13665259E-01,  0.50000000E-02
      357., -0.37489060E-02,  0.13308429E-01,  0.50000000E-02
      358., -0.40596900E-02,  0.12918718E-01,  0.50000000E-02
      359., -0.12990381E-01, -0.25000000E-02,  0.00000000E+00
      360., -0.45775628E-02,  0.12071429E-01,  0.00000000E+00
      361., -0.48249987E-02,  0.11642857E-01,  0.00000000E+00
      362., -0.50724345E-02,  0.11214286E-01,  0.00000000E+00
      363., -0.53198703E-02,  0.10785714E-01,  0.00000000E+00
      364., -0.55673062E-02,  0.10357143E-01,  0.00000000E+00
      365., -0.58147420E-02,  0.99285714E-02,  0.00000000E+00
      366., -0.60621778E-02,  0.95000000E-02,  0.00000000E+00
      367., -0.63096137E-02,  0.90714286E-02,  0.00000000E+00
      368., -0.65570495E-02,  0.86428571E-02,  0.00000000E+00
      369., -0.68044853E-02,  0.82142857E-02,  0.00000000E+00
      370., -0.70519211E-02,  0.77857143E-02,  0.00000000E+00
      371., -0.72993570E-02,  0.73571429E-02,  0.00000000E+00
      372., -0.75467928E-02,  0.69285714E-02,  0.00000000E+00
      373., -0.77942286E-02,  0.65000000E-02,  0.00000000E+00
      374., -0.80416645E-02,  0.60714286E-02,  0.00000000E+00
      375., -0.82891003E-02,  0.56428571E-02,  0.00000000E+00
      376., -0.85365361E-02,  0.52142857E-02,  0.00000000E+00
