Node,X,Y
      190.,  0.10160254E-01, -0.75980762E-02,  0.25000000E-02
      191.,  0.11258330E-01, -0.65000000E-02,  0.25000000E-02
      192.,  0.86602540E-02, -0.80000000E-02,  0.37500000E-02
      193., -0.86602540E-02, -0.80000000E-02,  0.25000000E-02
      194., -0.69282032E-02, -0.80000000E-02,  0.25000000E-02
      195., -0.51961524E-02, -0.80000000E-02,  0.25000000E-02
      196., -0.34641016E-02, -0.80000000E-02,  0.25000000E-02
      197., -0.17320508E-02, -0.80000000E-02,  0.25000000E-02
      198.,  0.31086245E-17, -0.80000000E-02,  0.25000000E-02
      199.,  0.17320508E-02, -0.80000000E-02,  0.25000000E-02
      200.,  0.34641016E-02, -0.80000000E-02,  0.25000000E-02
      201.,  0.51961524E-02, -0.80000000E-02,  0.25000000E-02
      202.,  0.69282032E-02, -0.80000000E-02,  0.25000000E-02
      203., -0.86602540E-02, -0.80000000E-02,  0.37500000E-02
      204., -0.11258330E-01, -0.35000000E-02,  0.25000000E-02
      205., -0.11660254E-01, -0.50000000E-02,  0.25000000E-02
      206., -0.11258330E-01, -0.65000000E-02,  0.25000000E-02
      207., -0.10160254E-01, -0.75980762E-02,  0.25000000E-02
      208., -0.11258330E-01, -0.35000000E-02,  0.37500000E-02
      209., -0.25980762E-02,  0.11500000E-01,  0.25000000E-02
      210., -0.34641016E-02,  0.10000000E-01,  0.25000000E-02
      211., -0.43301270E-02,  0.85000000E-02,  0.25000000E-02
      212., -0.51961524E-02,  0.70000000E-02,  0.25000000E-02
      213., -0.60621778E-02,  0.55000000E-02,  0.25000000E-02
      214., -0.69282032E-02,  0.40000000E-02,  0.25000000E-02
      215., -0.77942286E-02,  0.25000000E-02,  0.25000000E-02
      216., -0.86602540E-02,  0.10000000E-02,  0.25000000E-02
      217., -0.95262794E-02, -0.50000000E-03,  0.25000000E-02
      218., -0.10392305E-01, -0.20000000E-02,  0.25000000E-02
      219., -0.25980762E-02,  0.11500000E-01,  0.37500000E-02
      220.,  0.25980762E-02,  0.11500000E-01,  0.25000000E-02
      221.,  0.15000000E-02,  0.12598076E-01,  0.25000000E-02
      222.,  0.14781886E-16,  0.13000000E-01,  0.25000000E-02
      223., -0.15000000E-02,  0.12598076E-01,  0.25000000E-02
      224.,  0.25980762E-02,  0.11500000E-01,  0.37500000E-02
      225.,  0.10392305E-01, -0.20000000E-02,  0.25000000E-02
      226.,  0.95262794E-02, -0.50000000E-03,  0.25000000E-02
      227.,  0.86602540E-02,  0.10000000E-02,  0.25000000E-02
      228.,  0.77942286E-02,  0.25000000E-02,  0.25000000E-02
      229.,  0.69282032E-02,  0.40000000E-02,  0.25000000E-02
      230.,  0.60621778E-02,  0.55000000E-02,  0.25000000E-02
      231.,  0.51961524E-02,  0.70000000E-02,  0.25000000E-02
      232.,  0.43301270E-02,  0.85000000E-02,  0.25000000E-02
      233.,  0.34641016E-02,  0.10000000E-01,  0.25000000E-02
      234., -0.30310889E-02, -0.17500000E-02,  0.25000000E-02
      235., -0.17500000E-02, -0.30310889E-02,  0.25000000E-02
      236., -0.64293957E-18, -0.35000000E-02,  0.25000000E-02
      237.,  0.17500000E-02, -0.30310889E-02,  0.25000000E-02
      238.,  0.30310889E-02, -0.17500000E-02,  0.25000000E-02
      239., -0.30310889E-02, -0.17500000E-02,  0.50000000E-02
      240., -0.17500000E-02, -0.30310889E-02,  0.50000000E-02
      241., -0.64293957E-18, -0.35000000E-02,  0.50000000E-02
      242.,  0.17500000E-02, -0.30310889E-02,  0.50000000E-02
      243.,  0.30310889E-02, -0.17500000E-02,  0.50000000E-02
      244.,  0.20225425E-02,  0.14694631E-02,  0.50000000E-02
      245.,  0.77254249E-03,  0.23776413E-02,  0.50000000E-02
      246., -0.77254249E-03,  0.23776413E-02,  0.50000000E-02
      247., -0.20225425E-02,  0.14694631E-02,  0.50000000E-02
      248., -0.20225425E-02,  0.14694631E-02,  0.25000000E-02
      249., -0.77254249E-03,  0.23776413E-02,  0.25000000E-02
      250.,  0.77254249E-03,  0.23776413E-02,  0.25000000E-02
      251.,  0.20225425E-02,  0.14694631E-02,  0.25000000E-02
      252.,  0.12728915E-02,  0.14835261E-01,  0.20839266E-02
      253., -0.20533885E-02,  0.14558903E-01,  0.32026713E-02
      254.,  0.12211267E-01, -0.85199868E-02,  0.20839266E-02
      255.,  0.13652051E-01, -0.52862991E-02,  0.31537883E-02
      256., -0.11755421E-01, -0.89268237E-02,  0.25477220E-02
      257.,  0.17320507E-02,  0.67500000E-02,  0.25000000E-02
      258., -0.67116971E-02, -0.18750000E-02,  0.25000000E-02
      259.,  0.49796461E-02, -0.48750000E-02,  0.25000000E-02
      260.,  0.81189881E-02, -0.41875000E-02,  0.25000000E-02
      261., -0.76859760E-02, -0.49375000E-02,  0.25000000E-02
      262., -0.43301281E-03,  0.91250000E-02,  0.25000000E-02
      263., -0.14368008E-02,  0.60548793E-02,  0.25000000E-02
      264., -0.45252790E-02, -0.42717456E-02,  0.25000000E-02
      265.,  0.59620796E-02, -0.17831337E-02,  0.25000000E-02
      266.,  0.66164751E-02,  0.61369775E-03,  0.25000000E-02
      267., -0.27767598E-02, -0.60368844E-02,  0.25000000E-02
      268., -0.38397156E-02,  0.54231866E-02,  0.25000000E-02
      269.,  0.41015076E-02,  0.46426968E-02,  0.25000000E-02
      270., -0.60714476E-02,  0.12306614E-02,  0.25000000E-02
      271.,  0.19699396E-02, -0.58733582E-02,  0.25000000E-02
      272.,  0.20297196E-04,  0.54062500E-02,  0.00000000E+00
      273.,  0.14938855E-02, -0.27662373E-02,  0.00000000E+00
      274., -0.45057370E-02, -0.49700648E-03,  0.00000000E+00
      275.,  0.51961523E-02, -0.20000000E-02,  0.00000000E+00
      276., -0.65696348E-02, -0.38566485E-02,  0.00000000E+00
      277.,  0.25980759E-02,  0.15000000E-02,  0.00000000E+00
      278., -0.26268403E-02,  0.90487497E-02,  0.00000000E+00
      279., -0.10719765E-01, -0.37716135E-02,  0.00000000E+00
      280.,  0.50822077E-03, -0.71842416E-02,  0.00000000E+00
      281.,  0.43301271E-02, -0.60000000E-02,  0.00000000E+00
      282., -0.64690082E-02,  0.32528323E-02,  0.00000000E+00
      283.,  0.35751538E-02,  0.79136099E-02,  0.00000000E+00
      284., -0.10825321E-02,  0.25000000E-03,  0.00000000E+00
      285., -0.45275559E-02,  0.62104816E-02,  0.00000000E+00
      286.,  0.64230216E-02,  0.25833333E-02,  0.00000000E+00
      287., -0.24215207E-02, -0.40891628E-02,  0.00000000E+00
      288., -0.22748157E-03,  0.11724232E-01,  0.00000000E+00
      289., -0.83159739E-02, -0.73540041E-02,  0.00000000E+00
      290., -0.85602741E-02, -0.84145149E-04,  0.00000000E+00
      291., -0.50426600E-02, -0.75453935E-02,  0.00000000E+00
      292.,  0.82632959E-02,  0.11512245E-03,  0.00000000E+00
